WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.50.240:5000
Press CTRL+C to quit
127.0.0.1 - - [24/Jun/2026 17:40:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:40:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:40:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:40:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:40:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:40:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:40:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:41:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:41:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:41:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:41:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:41:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:41:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:42:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:42:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:42:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:42:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:42:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:42:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:43:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:43:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:43:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:43:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:43:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:43:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:44:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:44:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:44:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:44:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:44:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:44:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /api/stats HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /api/workers HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /api/active-logins HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:45:56] "GET /login HTTP/1.1" 200 -
